Country,Year,deficit,capex,expenditure,gdp_growth,gov_debt,gdp_nominal,revenue,tax_revenue,deficit_pct_gdp,revenue_pct_gdp,tax_pct_gdp,debt_pct_gdp,fiscal_burden,wage_proxy_pct_gdp,revenue_volatility,structural_deficit
Egypt,2007,-37.43666666666667,,134.37633333333335,7.258,19.912860000000002,312.44,104.79199999999999,59.199999999999996,-0.11982033883839031,0.3353987965689412,0.18947637946485724,0.06373338881065166,0.19002271165737847,0.4300868433405881,0.057013274594030564,-0.14159433883839032
Egypt,2008,-43.71333333333333,,178.95700000000002,6.26,23.37856,374.46,140.809,78.49966666666667,-0.11673699015471167,0.3760321529669391,0.209634317862166,0.06243272979757518,0.16603029635889752,0.47790685253431614,0.061720664604330386,-0.13551699015471166
Egypt,2009,-56.071000000000005,,200.42433333333335,4.64,25.73352,433.2,145.966,84.69166666666668,-0.12943444136657434,0.33694829178208685,0.19550246229609114,0.05940332409972299,0.17629804200978308,0.46266004924592186,0.023025416365034027,-0.14335444136657433
Egypt,2010,-64.587,,218.428,5.446,26.25134,502.82,153.95766666666665,91.82866666666666,-0.12844954456863292,0.30618843058483486,0.1826273152751813,0.05220822560757329,0.17051011858238088,0.4344059504395211,0.035004435009913265,-0.1447875445686329
Egypt,2011,-85.15547333333335,,250.38910666666666,-0.31200000000000006,26.54434,577.5,163.64607666666666,100.54966666666667,-0.1474553650793651,0.2833698297258297,0.1741119769119769,0.04596422510822511,0.16220578299636595,0.43357421067821067,0.026887138196389833,-0.1465193650793651
Egypt,2012,-106.43599999999999,,301.19166666666666,3.178,25.65806,688.6600000000001,195.72033333333334,119.55133333333333,-0.1545552231870589,0.2842045905575078,0.1735999380439307,0.037257950222170585,0.1310955257586931,0.4373590257408106,0.012940083675385109,-0.16408922318705887
Egypt,2013,-134.03133333333332,,355.64300000000003,1.786,28.30666,773.28,225.023,131.58733333333333,-0.17332833298848196,0.29099808607490174,0.17016777019104767,0.036605964204427896,0.12579451878252446,0.45991490792468454,0.004184071022304385,-0.17868633298848197
Egypt,2014,-160.859,,416.24399999999997,4.473999999999999,28.0228,888.14,267.018,141.83633333333333,-0.1811189677303128,0.3006485464003423,0.15970042260604558,0.03155223275609701,0.10494723202181128,0.4686693539306866,0.008263238364374776,-0.1945409677303128
Egypt,2015,-174.83500000000004,,463.453,4.0280000000000005,24.61962,1003.5200000000001,290.23466666666667,169.46066666666667,-0.17422173947704084,0.2892166241496598,0.16886625744047618,0.024533262914540815,0.0848266000845293,0.4618273676658163,0.006150797203474844,-0.18630573947704085
Egypt,2016,-244.653,,586.8050000000001,3.97,24.76354,1159.16,331.741,,-0.211060595603713,0.28619086234859725,,0.02136334932192277,0.07464720972083644,0.506232961799924,0.007625272770667599,-0.22297059560371302
